 gmid0.5         idw0.5         
 2.67045550e+01  4.70786987e-08 
 2.68237958e+01  6.15269366e-08 
 2.69294796e+01  8.04995389e-08 
 2.70244462e+01  1.05428079e-07 
 2.71109178e+01  1.38201410e-07 
 2.71906281e+01  1.81313009e-07 
 2.72649264e+01  2.38056174e-07 
 2.73348614e+01  3.12782755e-07 
 2.74012469e+01  4.11246211e-07 
 2.74647144e+01  5.41056714e-07 
 2.75257534e+01  7.12285130e-07 
 2.75847439e+01  9.38264934e-07 
 2.76419804e+01  1.23665735e-06 
 2.76976914e+01  1.63086672e-06 
 2.77520537e+01  2.15192199e-06 
 2.78052040e+01  2.84097880e-06 
 2.78572467e+01  3.75264822e-06 
 2.79082606e+01  4.95942670e-06 
 2.79583029e+01  6.55759394e-06 
 2.80074119e+01  8.67506742e-06 
 2.80556090e+01  1.14818664e-05 
 2.81028982e+01  1.52040563e-05 
 2.81492653e+01  2.01423356e-05 
 2.81946752e+01  2.66968177e-05 
 2.82390677e+01  3.54000760e-05 
 2.82823510e+01  4.69612143e-05 
 2.83243930e+01  6.23246401e-05 
 2.83650089e+01  8.27484388e-05 
 2.84039444e+01  1.09908856e-04 
 2.84408539e+01  1.46039524e-04 
 2.84752702e+01  1.94116837e-04 
 2.85065647e+01  2.58106507e-04 
 2.85338957e+01  3.43290951e-04 
 2.85561387e+01  4.56703010e-04 
 2.85717974e+01  6.07698713e-04 
 2.85788874e+01  8.08710309e-04 
 2.85747907e+01  1.07623032e-03 
 2.85560743e+01  1.43208680e-03 
 2.85182762e+01  1.90507716e-03 
 2.84556656e+01  2.53302861e-03 
 2.83610058e+01  3.36534062e-03 
 2.82253732e+01  4.46602790e-03 
 2.80381307e+01  5.91720838e-03 
 2.77871977e+01  7.82285674e-03 
 2.74597911e+01  1.03124692e-02 
 2.70437713e+01  1.35440856e-02 
 2.65295715e+01  1.77059614e-02 
 2.59124028e+01  2.30161792e-02 
 2.51941273e+01  2.97197428e-02 
 2.43840911e+01  3.80832026e-02 
 2.34984677e+01  4.83874696e-02 
 2.25582184e+01  6.09199287e-02 
 2.15862930e+01  7.59670553e-02 
 2.06048873e+01  9.38084505e-02 
 1.96333861e+01  1.14712726e-01 
 1.86872398e+01  1.38935203e-01 
 1.77776932e+01  1.66717073e-01 
 1.69121080e+01  1.98285601e-01 
 1.60945992e+01  2.33854914e-01 
 1.53267657e+01  2.73627089e-01 
 1.46083799e+01  3.17793300e-01 
 1.39379699e+01  3.66534918e-01 
 1.33132769e+01  4.20024486e-01 
 1.27315959e+01  4.78426563e-01 
 1.21900170e+01  5.41898440e-01 
 1.16855904e+01  6.10590730e-01 
 1.12154337e+01  6.84647858e-01 
 1.07767972e+01  7.64208472e-01 
 1.03671012e+01  8.49405779e-01 
 9.98395305e+00  9.40367839e-01 
 9.62515090e+00  1.03721780e+00 
 9.28868032e+00  1.14007412e+00 
 8.97270508e+00  1.24905072e+00 
 8.67555572e+00  1.36425721e+00 
 8.39571664e+00  1.48579895e+00 
 8.13181307e+00  1.61377725e+00 
 7.88259822e+00  1.74828945e+00 
 7.64694116e+00  1.88942905e+00 
 7.42381552e+00  2.03728581e+00 
 7.21228905e+00  2.19194584e+00 
 7.01151421e+00  2.35349168e+00 
 6.82071958e+00  2.52200243e+00 
 6.63920219e+00  2.69755379e+00 
 6.46632062e+00  2.88021812e+00 
 6.30148879e+00  3.07006458e+00 
