 gmid0.5         ft0.5          
 1.19461332e+00  5.48206573e+09 
 1.18152473e+00  5.47822817e+09 
 1.16861711e+00  5.47392366e+09 
 1.15588727e+00  5.46916135e+09 
 1.14333209e+00  5.46395032e+09 
 1.13094851e+00  5.45829954e+09 
 1.11873353e+00  5.45221791e+09 
 1.10668423e+00  5.44571421e+09 
 1.09479774e+00  5.43879714e+09 
 1.08307126e+00  5.43147530e+09 
 1.07150204e+00  5.42375719e+09 
 1.06008739e+00  5.41565120e+09 
 1.04882467e+00  5.40716561e+09 
 1.03771131e+00  5.39830861e+09 
 1.02674477e+00  5.38908828e+09 
 1.01592259e+00  5.37951257e+09 
 1.00524234e+00  5.36958935e+09 
 9.94701634e-01  5.35932636e+09 
 9.84298149e-01  5.34873124e+09 
 9.74029599e-01  5.33781150e+09 
 9.63893746e-01  5.32657456e+09 
 9.53888395e-01  5.31502773e+09 
 9.44011396e-01  5.30317818e+09 
 9.34260639e-01  5.29103300e+09 
 9.24634055e-01  5.27859915e+09 
 9.15129616e-01  5.26588349e+09 
 9.05745331e-01  5.25289275e+09 
 8.96479251e-01  5.23963357e+09 
 8.87329461e-01  5.22611248e+09 
 8.78294083e-01  5.21233588e+09 
 8.69371275e-01  5.19831008e+09 
 8.60559230e-01  5.18404129e+09 
 8.51856175e-01  5.16953558e+09 
 8.43260371e-01  5.15479894e+09 
 8.34770109e-01  5.13983726e+09 
 8.26383716e-01  5.12465631e+09 
 8.18099545e-01  5.10926175e+09 
 8.09915984e-01  5.09365917e+09 
 8.01831449e-01  5.07785404e+09 
 7.93844386e-01  5.06185171e+09 
 7.85953267e-01  5.04565748e+09 
 7.78156596e-01  5.02927650e+09 
 7.70452902e-01  5.01271387e+09 
 7.62840740e-01  4.99597456e+09 
 7.55318693e-01  4.97906347e+09 
 7.47885371e-01  4.96198540e+09 
 7.40539406e-01  4.94474506e+09 
 7.33279456e-01  4.92734707e+09 
 7.26104204e-01  4.90979596e+09 
 7.19012356e-01  4.89209617e+09 
 7.12002642e-01  4.87425207e+09 
 7.05073814e-01  4.85626793e+09 
 6.98224646e-01  4.83814795e+09 
 6.91453934e-01  4.81989624e+09 
 6.84760497e-01  4.80151683e+09 
 6.78143174e-01  4.78301368e+09 
 6.71600823e-01  4.76439066e+09 
 6.65132325e-01  4.74565158e+09 
 6.58736578e-01  4.72680015e+09 
 6.52412502e-01  4.70784005e+09 
 6.46159035e-01  4.68877484e+09 
 6.39975134e-01  4.66960804e+09 
 6.33859772e-01  4.65034310e+09 
 6.27811943e-01  4.63098337e+09 
 6.21830658e-01  4.61153218e+09 
 6.15914943e-01  4.59199277e+09 
 6.10063844e-01  4.57236830e+09 
 6.04276421e-01  4.55266190e+09 
 5.98551753e-01  4.53287662e+09 
 5.92888932e-01  4.51301544e+09 
 5.87287068e-01  4.49308131e+09 
 5.81745285e-01  4.47307710e+09 
 5.76262722e-01  4.45300561e+09 
 5.70838535e-01  4.43286962e+09 
 5.65471891e-01  4.41267183e+09 
 5.60161974e-01  4.39241489e+09 
 5.54907981e-01  4.37210140e+09 
 5.49709123e-01  4.35173390e+09 
 5.44564623e-01  4.33131490e+09 
 5.39473719e-01  4.31084683e+09 
 5.34435662e-01  4.29033210e+09 
 5.29449714e-01  4.26977306e+09 
 5.24515151e-01  4.24917201e+09 
 5.19631260e-01  4.22853121e+09 
 5.14797341e-01  4.20785287e+09 
 5.10012706e-01  4.18713916e+09 
 5.05276678e-01  4.16639221e+09 
 5.00588590e-01  4.14561409e+09 
 4.95947788e-01  4.12480685e+09 
 4.91353629e-01  4.10397250e+09 
 4.86805480e-01  4.08311300e+09 
 4.82302719e-01  4.06223026e+09 
 4.77844732e-01  4.04132617e+09 
 4.73430919e-01  4.02040259e+09 
 4.69060688e-01  3.99946132e+09 
 4.64733456e-01  3.97850414e+09 
 4.60448650e-01  3.95753278e+09 
 4.56205707e-01  3.93654897e+09 
 gmid1.5         ft1.5          
 2.50370802e+01  1.62986356e+01 
 2.54220921e+01  2.14134350e+01 
 2.57401482e+01  2.81502667e+01 
 2.60039860e+01  3.70284646e+01 
 2.62243200e+01  4.87351199e+01 
 2.64099818e+01  6.41797199e+01 
 2.65681424e+01  8.45667179e+01 
 2.67045550e+01  1.11491963e+02 
 2.68237958e+01  1.47070884e+02 
 2.69294796e+01  1.94108967e+02 
 2.70244462e+01  2.56328556e+02 
 2.71109178e+01  3.38670727e+02 
 2.71906281e+01  4.47697238e+02 
 2.72649264e+01  5.92125933e+02 
 2.73348614e+01  7.83544206e+02 
 2.74012469e+01  1.03736008e+03 
 2.74647144e+01  1.37407055e+03 
 2.75257534e+01  1.82095351e+03 
 2.75847439e+01  2.41432575e+03 
 2.76419804e+01  3.20255710e+03 
 2.76976914e+01  4.25009560e+03 
 2.77520537e+01  5.64284394e+03 
 2.78052040e+01  7.49534332e+03 
 2.78572467e+01  9.96037403e+03 
 2.79082606e+01  1.32417888e+04 
 2.79583029e+01  1.76116691e+04 
 2.80074119e+01  2.34332638e+04 
 2.80556090e+01  3.11916548e+04 
 2.81028982e+01  4.15347505e+04 
 2.81492653e+01  5.53280633e+04 
 2.81946752e+01  7.37278681e+04 
 2.82390677e+01  9.82788239e+04 
 2.82823510e+01  1.31044077e+05 
 2.83243930e+01  1.74778339e+05 
 2.83650089e+01  2.33157543e+05 
 2.84039444e+01  3.11082516e+05 
 2.84408539e+01  4.15078522e+05 
 2.84752702e+01  5.53817425e+05 
 2.85065647e+01  7.38793695e+05 
 2.85338957e+01  9.85188237e+05 
 2.85561387e+01  1.31295208e+06 
 2.85717974e+01  1.74813061e+06 
 2.85788874e+01  2.32442028e+06 
 2.85747907e+01  3.08489240e+06 
 2.85560743e+01  4.08371952e+06 
 2.85182762e+01  5.38758798e+06 
 2.84556656e+01  7.07628113e+06 
 2.83610058e+01  9.24171610e+06 
 2.82253732e+01  1.19846237e+07 
 2.80381307e+01  1.54082638e+07 
 2.77871977e+01  1.96092604e+07 
 2.74597911e+01  2.46668360e+07 
 2.70437713e+01  3.06330193e+07 
 2.65295715e+01  3.75269573e+07 
 2.59124028e+01  4.53355285e+07 
 2.51941273e+01  5.40201620e+07 
 2.43840911e+01  6.35273844e+07 
 2.34984677e+01  7.37995829e+07 
 2.25582184e+01  8.47832011e+07 
 2.15862930e+01  9.64332543e+07 
 2.06048873e+01  1.08714542e+08 
 1.96333861e+01  1.21600677e+08 
 1.86872398e+01  1.35072082e+08 
 1.77776932e+01  1.49113814e+08 
 1.69121080e+01  1.63713673e+08 
 1.60945992e+01  1.78860776e+08 
 1.53267657e+01  1.94544598e+08 
 1.46083799e+01  2.10754393e+08 
 1.39379699e+01  2.27478890e+08 
 1.33132769e+01  2.44706188e+08 
 1.27315959e+01  2.62423752e+08 
 1.21900170e+01  2.80618482e+08 
 1.16855904e+01  2.99276809e+08 
 1.12154337e+01  3.18384801e+08 
 1.07767972e+01  3.37928262e+08 
 1.03671012e+01  3.57892828e+08 
 9.98395305e+00  3.78264045e+08 
 9.62515090e+00  3.99027441e+08 
 9.28868032e+00  4.20168578e+08 
 8.97270508e+00  4.41673101e+08 
 8.67555572e+00  4.63526775e+08 
 8.39571664e+00  4.85715507e+08 
 8.13181307e+00  5.08225374e+08 
 7.88259822e+00  5.31042635e+08 
 7.64694116e+00  5.54153740e+08 
 7.42381552e+00  5.77545340e+08 
 7.21228905e+00  6.01204290e+08 
 7.01151421e+00  6.25117649e+08 
 6.82071958e+00  6.49272677e+08 
 6.63920219e+00  6.73656837e+08 
 6.46632062e+00  6.98257788e+08 
 6.30148879e+00  7.23063384e+08 
