 gmid0.5         gain0.5        
 7.85953267e-01  2.41788766e+00 
 7.78156596e-01  2.37218068e+00 
 7.70452902e-01  2.32762090e+00 
 7.62840740e-01  2.28417224e+00 
 7.55318693e-01  2.24179994e+00 
 7.47885371e-01  2.20047051e+00 
 7.40539406e-01  2.16015168e+00 
 7.33279456e-01  2.12081236e+00 
 7.26104204e-01  2.08242258e+00 
 7.19012356e-01  2.04495344e+00 
 7.12002642e-01  2.00837708e+00 
 7.05073814e-01  1.97266663e+00 
 6.98224646e-01  1.93779618e+00 
 6.91453934e-01  1.90374072e+00 
 6.84760497e-01  1.87047613e+00 
 6.78143174e-01  1.83797913e+00 
 6.71600823e-01  1.80622726e+00 
 6.65132325e-01  1.77519881e+00 
 6.58736578e-01  1.74487284e+00 
 6.52412502e-01  1.71522912e+00 
 6.46159035e-01  1.68624813e+00 
 6.39975134e-01  1.65791098e+00 
 6.33859772e-01  1.63019945e+00 
 6.27811943e-01  1.60309590e+00 
 6.21830658e-01  1.57658331e+00 
 6.15914943e-01  1.55064522e+00 
 6.10063844e-01  1.52526570e+00 
 6.04276421e-01  1.50042937e+00 
 5.98551753e-01  1.47612134e+00 
 5.92888932e-01  1.45232721e+00 
 5.87287068e-01  1.42903304e+00 
 5.81745285e-01  1.40622536e+00 
 5.76262722e-01  1.38389111e+00 
 5.70838535e-01  1.36201768e+00 
 5.65471891e-01  1.34059284e+00 
 5.60161974e-01  1.31960474e+00 
 5.54907981e-01  1.29904194e+00 
 5.49709123e-01  1.27889332e+00 
 5.44564623e-01  1.25914813e+00 
 5.39473719e-01  1.23979595e+00 
 5.34435662e-01  1.22082670e+00 
 5.29449714e-01  1.20223057e+00 
 5.24515151e-01  1.18399809e+00 
 5.19631260e-01  1.16612007e+00 
 5.14797341e-01  1.14858758e+00 
 5.10012706e-01  1.13139200e+00 
 5.05276678e-01  1.11452492e+00 
 5.00588590e-01  1.09797823e+00 
 4.95947788e-01  1.08174403e+00 
 4.91353629e-01  1.06581466e+00 
 4.86805480e-01  1.05018270e+00 
 4.82302719e-01  1.03484094e+00 
 4.77844732e-01  1.01978238e+00 
 4.73430919e-01  1.00500022e+00 
