 vgt0.5          gmid0.5        
 1.68630660e+00  8.87329461e-01 
 1.69624754e+00  8.78294083e-01 
 1.70618849e+00  8.69371275e-01 
 1.71612945e+00  8.60559230e-01 
 1.72607041e+00  8.51856175e-01 
 1.73601138e+00  8.43260371e-01 
 1.74595235e+00  8.34770109e-01 
 1.75589333e+00  8.26383716e-01 
 1.76583432e+00  8.18099545e-01 
 1.77577531e+00  8.09915984e-01 
 1.78571631e+00  8.01831449e-01 
 1.79565731e+00  7.93844386e-01 
 1.80559832e+00  7.85953267e-01 
 1.81553934e+00  7.78156596e-01 
 1.82548036e+00  7.70452902e-01 
 1.83542139e+00  7.62840740e-01 
 1.84536242e+00  7.55318693e-01 
 1.85530346e+00  7.47885371e-01 
 1.86524451e+00  7.40539406e-01 
 1.87518556e+00  7.33279456e-01 
 1.88512662e+00  7.26104204e-01 
 1.89506768e+00  7.19012356e-01 
 1.90500875e+00  7.12002642e-01 
 1.91494983e+00  7.05073814e-01 
 1.92489092e+00  6.98224646e-01 
 1.93483201e+00  6.91453934e-01 
 1.94477310e+00  6.84760497e-01 
 1.95471420e+00  6.78143174e-01 
 1.96465531e+00  6.71600823e-01 
 1.97459643e+00  6.65132325e-01 
 1.98453755e+00  6.58736578e-01 
 1.99447868e+00  6.52412502e-01 
 2.00441981e+00  6.46159035e-01 
 2.01436095e+00  6.39975134e-01 
 2.02430209e+00  6.33859772e-01 
 2.03424325e+00  6.27811943e-01 
 2.04418441e+00  6.21830658e-01 
 2.05412557e+00  6.15914943e-01 
 2.06406674e+00  6.10063844e-01 
 2.07400792e+00  6.04276421e-01 
 2.08394910e+00  5.98551753e-01 
 2.09389029e+00  5.92888932e-01 
 2.10383149e+00  5.87287068e-01 
 2.11377269e+00  5.81745285e-01 
 2.12371390e+00  5.76262722e-01 
 2.13365512e+00  5.70838535e-01 
 2.14359634e+00  5.65471891e-01 
 2.15353757e+00  5.60161974e-01 
 2.16347880e+00  5.54907981e-01 
 2.17342004e+00  5.49709123e-01 
 2.18336129e+00  5.44564623e-01 
 2.19330254e+00  5.39473719e-01 
 2.20324380e+00  5.34435662e-01 
 2.21318507e+00  5.29449714e-01 
 2.22312634e+00  5.24515151e-01 
 2.23306762e+00  5.19631260e-01 
 2.24300891e+00  5.14797341e-01 
 2.25295020e+00  5.10012706e-01 
 2.26289150e+00  5.05276678e-01 
 2.27283280e+00  5.00588590e-01 
 2.28277411e+00  4.95947788e-01 
 2.29271543e+00  4.91353629e-01 
 2.30265675e+00  4.86805480e-01 
 2.31259808e+00  4.82302719e-01 
 2.32253942e+00  4.77844732e-01 
 2.33248076e+00  4.73430919e-01 
 2.34242211e+00  4.69060688e-01 
 2.35236347e+00  4.64733456e-01 
 2.36230483e+00  4.60448650e-01 
 2.37224620e+00  4.56205707e-01 
 vgt1.5          gmid1.5        
-5.92469149e-01  2.50370802e+01 
-5.82502100e-01  2.54220921e+01 
-5.72536485e-01  2.57401482e+01 
-5.62572291e-01  2.60039860e+01 
-5.52609497e-01  2.62243200e+01 
-5.42648075e-01  2.64099818e+01 
-5.32687988e-01  2.65681424e+01 
-5.22729195e-01  2.67045550e+01 
-5.12771651e-01  2.68237958e+01 
-5.02815305e-01  2.69294796e+01 
-4.92860105e-01  2.70244462e+01 
-4.82905997e-01  2.71109178e+01 
-4.72952925e-01  2.71906281e+01 
-4.63000834e-01  2.72649264e+01 
-4.53049669e-01  2.73348614e+01 
-4.43099375e-01  2.74012469e+01 
-4.33149901e-01  2.74647144e+01 
-4.23201197e-01  2.75257534e+01 
-4.13253214e-01  2.75847439e+01 
-4.03305905e-01  2.76419804e+01 
-3.93359228e-01  2.76976914e+01 
-3.83413142e-01  2.77520537e+01 
-3.73467607e-01  2.78052040e+01 
-3.63522587e-01  2.78572467e+01 
-3.53578049e-01  2.79082606e+01 
-3.43633961e-01  2.79583029e+01 
-3.33690292e-01  2.80074119e+01 
-3.23747016e-01  2.80556090e+01 
-3.13804107e-01  2.81028982e+01 
-3.03861540e-01  2.81492653e+01 
-2.93919295e-01  2.81946752e+01 
-2.83977350e-01  2.82390677e+01 
-2.74035686e-01  2.82823510e+01 
-2.64094285e-01  2.83243930e+01 
-2.54153131e-01  2.83650089e+01 
-2.44212209e-01  2.84039444e+01 
-2.34271504e-01  2.84408539e+01 
-2.24331003e-01  2.84752702e+01 
-2.14390694e-01  2.85065647e+01 
-2.04450565e-01  2.85338957e+01 
-1.94510606e-01  2.85561387e+01 
-1.84570807e-01  2.85717974e+01 
-1.74631158e-01  2.85788874e+01 
-1.64691651e-01  2.85747907e+01 
-1.54752277e-01  2.85560743e+01 
-1.44813030e-01  2.85182762e+01 
-1.34873902e-01  2.84556656e+01 
-1.24934886e-01  2.83610058e+01 
-1.14995977e-01  2.82253732e+01 
-1.05057168e-01  2.80381307e+01 
-9.51184550e-02  2.77871977e+01 
-8.51798318e-02  2.74597911e+01 
-7.52412940e-02  2.70437713e+01 
-6.53028372e-02  2.65295715e+01 
-5.53644571e-02  2.59124028e+01 
-4.54261497e-02  2.51941273e+01 
-3.54879114e-02  2.43840911e+01 
-2.55497387e-02  2.34984677e+01 
-1.56116281e-02  2.25582184e+01 
-5.67357674e-03  2.15862930e+01 
 4.26441846e-03  2.06048873e+01 
 1.42023603e-02  1.96333861e+01 
 2.41402513e-02  1.86872398e+01 
 3.40780940e-02  1.77776932e+01 
 4.40158907e-02  1.69121080e+01 
 5.39536437e-02  1.60945992e+01 
 6.38913551e-02  1.53267657e+01 
 7.38290269e-02  1.46083799e+01 
 8.37666609e-02  1.39379699e+01 
 9.37042589e-02  1.33132769e+01 
 1.03641823e-01  1.27315959e+01 
 1.13579354e-01  1.21900170e+01 
 1.23516854e-01  1.16855904e+01 
 1.33454325e-01  1.12154337e+01 
 1.43391767e-01  1.07767972e+01 
 1.53329182e-01  1.03671012e+01 
 1.63266572e-01  9.98395305e+00 
 1.73203937e-01  9.62515090e+00 
 1.83141280e-01  9.28868032e+00 
 1.93078599e-01  8.97270508e+00 
 2.03015898e-01  8.67555572e+00 
 2.12953177e-01  8.39571664e+00 
 2.22890436e-01  8.13181307e+00 
 2.32827678e-01  7.88259822e+00 
 2.42764901e-01  7.64694116e+00 
 2.52702109e-01  7.42381552e+00 
 2.62639300e-01  7.21228905e+00 
 2.72576477e-01  7.01151421e+00 
 2.82513639e-01  6.82071958e+00 
 2.92450788e-01  6.63920219e+00 
 3.02387924e-01  6.46632062e+00 
 3.12325047e-01  6.30148879e+00 
